Write Type,Global Time,Logical Clock Time,Message,Message Queue Length,Sender,1.0
0,1678300330.2224488,3,"2, 2",0,2
3,1678300331.22684,4,"4, 3",-1,-1
4,1678300332.2299688,5,-1,-1,-1
0,1678300333.238661,7,"6, 2",1,2
0,1678300334.242205,8,"7, 2",2,2
0,1678300335.246786,9,"8, 2",3,2
0,1678300336.251821,10,"9, 2",3,2
0,1678300337.2571552,11,"10, 2",2,2
0,1678300338.262881,12,"11, 2",3,2
0,1678300339.267821,14,"13, 2",3,2
0,1678300340.2732842,17,"16, 2",3,2
0,1678300341.2748952,18,"17, 2",3,2
0,1678300342.2758248,20,"19, 2",3,2
0,1678300343.2803352,21,"20, 2",2,2
0,1678300344.284317,24,"23, 2",1,2
0,1678300345.2896361,25,"24, 2",0,2
2,1678300346.295189,26,"26, 3",-1,-1
0,1678300347.30065,36,"35, 2",0,2
0,1678300348.306268,37,"36, 2",1,2
0,1678300349.311712,38,"37, 2",1,2
0,1678300350.31677,39,"38, 2",1,2
0,1678300351.319639,41,"40, 2",2,2
0,1678300352.326874,43,"42, 2",1,2
0,1678300353.334696,44,"43, 2",1,2
0,1678300354.342572,47,"46, 2",1,2
0,1678300355.351278,49,"48, 2",0,2
0,1678300356.3582988,53,"52, 2",0,2
0,1678300357.371233,55,"54, 2",0,2
4,1678300358.375987,56,-1,-1,-1
0,1678300359.3798988,60,"59, 2",0,2
0,1678300360.383488,62,"61, 2",0,2
0,1678300361.385607,63,"62, 2",1,2
0,1678300362.392098,64,"63, 2",1,2
0,1678300363.39763,65,"64, 2",1,2
0,1678300364.400718,68,"67, 2",1,2
0,1678300365.4054358,70,"69, 2",2,2
0,1678300366.409463,71,"70, 2",2,2
0,1678300367.412873,72,"71, 2",1,2
0,1678300368.4181619,73,"72, 2",3,2
0,1678300369.42,77,"76, 2",2,2
0,1678300370.4251761,78,"77, 2",2,2
0,1678300371.4267552,79,"75, 1",3,1
0,1678300372.428332,81,"80, 2",2,2
0,1678300373.433101,83,"82, 2",3,2
0,1678300374.436401,84,"83, 2",3,2
0,1678300375.440184,87,"86, 2",3,2
0,1678300376.446065,88,"85, 1",4,1
0,1678300377.4498482,90,"89, 2",5,2
0,1678300378.454787,92,"91, 2",4,2
0,1678300379.460085,93,"92, 2",5,2
0,1678300380.463906,94,"93, 2",5,2
0,1678300381.469673,95,"94, 2",5,2
0,1678300382.47606,96,"95, 2",5,2
0,1678300383.478016,99,"98, 2",5,2
0,1678300384.484224,100,"99, 2",5,2
0,1678300385.488254,101,"100, 1",5,1
0,1678300386.4925592,104,"103, 2",6,2
0,1678300387.498873,105,"104, 2",7,2
0,1678300388.502094,107,"106, 2",7,2
0,1678300389.503257,109,"108, 2",6,2
0,1678300390.508947,110,"107, 1",7,1
0,1678300391.5124679,111,"108, 1",6,1
0,1678300392.513373,114,"113, 2",7,2
0,1678300393.51899,115,"114, 2",6,2
0,1678300394.521549,116,"115, 2",7,2
0,1678300395.525755,117,"116, 2",6,2
0,1678300396.531313,120,"119, 1",6,1
0,1678300397.534655,121,"120, 2",7,2
0,1678300398.538764,125,"124, 2",8,2
0,1678300399.5446029,126,"125, 2",8,2
0,1678300400.548154,129,"128, 2",8,2
0,1678300401.553681,130,"129, 2",7,2
0,1678300402.5712352,133,"132, 2",6,2
0,1678300403.575273,135,"134, 2",7,2
0,1678300404.580489,136,"135, 2",7,2
0,1678300405.584373,137,"136, 2",8,2
0,1678300406.589761,138,"137, 2",8,2
0,1678300407.595045,140,"139, 2",7,2
0,1678300408.5956259,142,"141, 2",6,2
0,1678300409.599061,147,"146, 2",6,2
0,1678300410.6033301,148,"147, 2",7,2
0,1678300411.6083982,150,"149, 2",6,2
0,1678300412.613704,151,"150, 2",5,2
0,1678300413.6182039,152,"151, 2",5,2
0,1678300414.621268,154,"153, 2",5,2
0,1678300415.62549,159,"158, 2",6,2
0,1678300416.627451,161,"160, 2",6,2
0,1678300417.631904,162,"161, 2",6,2
0,1678300418.635176,167,"166, 2",7,2
0,1678300419.640321,169,"168, 2",8,2
0,1678300420.646213,171,"170, 2",8,2
0,1678300421.654838,172,"171, 2",8,2
0,1678300422.662693,173,"168, 1",8,1
0,1678300423.67417,175,"174, 2",7,2
0,1678300424.6758049,177,"176, 2",7,2
0,1678300425.679647,178,"177, 2",7,2
0,1678300426.683939,179,"178, 2",7,2
0,1678300427.6887639,180,"179, 2",6,2
0,1678300428.693534,182,"181, 2",5,2
0,1678300429.694921,183,"182, 2",5,2
0,1678300430.696003,185,"184, 2",5,2
0,1678300431.708491,189,"188, 2",4,2
0,1678300432.715254,192,"191, 2",5,2
0,1678300433.721107,193,"192, 2",4,2
0,1678300434.727419,199,"198, 2",4,2
0,1678300435.735789,202,"201, 2",4,2
0,1678300436.739022,205,"204, 2",3,2
0,1678300437.742422,206,"205, 2",4,2
0,1678300438.750647,210,"209, 2",5,2
0,1678300439.755188,212,"211, 2",6,2
0,1678300440.759626,215,"214, 2",7,2
0,1678300441.760606,216,"215, 2",6,2
0,1678300442.765719,217,"216, 2",6,2
