Write Type,Global Time,Logical Clock Time,Message,Message Queue Length,Sender,4.0
5,1678305606.571174,1,-1,-1,-1
7,1678305606.8230772,2,-1,-1,-1
2,1678305607.078347,3,"3, 3",-1,-1
7,1678305607.3287811,4,-1,-1,-1
2,1678305607.581738,5,"5, 3",-1,-1
2,1678305607.833736,6,"6, 3",-1,-1
7,1678305608.0839622,7,-1,-1,-1
0,1678305608.337734,8,"6, 1",0,1
10,1678305608.590228,9,-1,-1,-1
0,1678305608.843122,10,"7, 1",0,1
6,1678305609.096169,11,-1,-1,-1
10,1678305609.350566,12,-1,-1,-1
0,1678305609.604192,14,"13, 2",0,2
0,1678305609.8565161,15,"14, 2",0,2
4,1678305610.110803,16,-1,-1,-1
7,1678305610.372106,17,-1,-1,-1
3,1678305610.6278179,18,"18, 3",-1,-1
7,1678305610.8805509,19,-1,-1,-1
10,1678305611.1353831,20,-1,-1,-1
2,1678305611.387431,21,"21, 3",-1,-1
10,1678305611.642283,22,-1,-1,-1
5,1678305611.896812,23,-1,-1,-1
9,1678305612.149781,24,-1,-1,-1
10,1678305612.402024,25,-1,-1,-1
8,1678305612.6528661,26,-1,-1,-1
0,1678305612.907321,27,"23, 1",0,1
9,1678305613.161747,28,-1,-1,-1
7,1678305613.412121,29,-1,-1,-1
7,1678305613.6675131,30,-1,-1,-1
0,1678305613.920753,31,"30, 2",0,2
6,1678305614.174788,32,-1,-1,-1
9,1678305614.430292,33,-1,-1,-1
8,1678305614.6841578,34,-1,-1,-1
7,1678305614.9356558,35,-1,-1,-1
2,1678305615.1901162,36,"36, 3",-1,-1
2,1678305615.442461,37,"37, 3",-1,-1
1,1678305615.697279,38,"38, 3",-1,-1
1,1678305615.952461,39,"39, 3",-1,-1
0,1678305616.203326,40,"39, 2",0,2
5,1678305616.458677,41,-1,-1,-1
0,1678305616.710328,42,"41, 2",0,2
0,1678305616.961743,43,"42, 2",0,2
9,1678305617.216753,44,-1,-1,-1
1,1678305617.471612,45,"45, 3",-1,-1
7,1678305617.7221918,46,-1,-1,-1
3,1678305617.974547,47,"47, 3",-1,-1
2,1678305618.2252202,48,"48, 3",-1,-1
6,1678305618.475858,49,-1,-1,-1
4,1678305618.727813,50,-1,-1,-1
1,1678305618.983377,51,"51, 3",-1,-1
7,1678305619.2340338,52,-1,-1,-1
4,1678305619.4887822,53,-1,-1,-1
7,1678305619.742817,54,-1,-1,-1
8,1678305619.9962869,55,-1,-1,-1
3,1678305620.248333,56,"56, 3",-1,-1
10,1678305620.502075,57,-1,-1,-1
10,1678305620.752959,58,-1,-1,-1
8,1678305621.003505,59,-1,-1,-1
0,1678305621.259122,60,"59, 2",0,2
3,1678305621.512077,61,"61, 3",-1,-1
0,1678305621.7677288,62,"61, 2",0,2
8,1678305622.019308,63,-1,-1,-1
7,1678305622.272793,64,-1,-1,-1
8,1678305622.5240471,65,-1,-1,-1
7,1678305622.777503,66,-1,-1,-1
10,1678305623.030213,67,-1,-1,-1
2,1678305623.281116,68,"68, 3",-1,-1
5,1678305623.531646,69,-1,-1,-1
10,1678305623.782308,70,-1,-1,-1
0,1678305624.0375738,71,"70, 2",0,2
0,1678305624.2917619,72,"71, 2",0,2
1,1678305624.5450501,73,"73, 3",-1,-1
5,1678305624.795989,74,-1,-1,-1
7,1678305625.0509598,75,-1,-1,-1
0,1678305625.3023622,76,"75, 2",0,2
3,1678305625.555959,77,"77, 3",-1,-1
0,1678305625.810103,78,"77, 2",0,2
4,1678305626.060715,79,-1,-1,-1
9,1678305626.31609,80,-1,-1,-1
0,1678305626.568862,81,"80, 2",0,2
0,1678305626.823277,82,"81, 2",0,2
0,1678305627.077444,83,"82, 2",0,2
5,1678305627.329008,84,-1,-1,-1
0,1678305627.5845609,85,"84, 2",0,2
0,1678305627.8355021,86,"85, 2",0,2
0,1678305628.0892491,87,"86, 2",0,2
0,1678305628.342687,88,"87, 2",0,2
0,1678305628.5983732,89,"88, 2",0,2
2,1678305628.851905,90,"90, 3",-1,-1
6,1678305629.102892,91,-1,-1,-1
4,1678305629.355756,92,-1,-1,-1
6,1678305629.611302,93,-1,-1,-1
0,1678305629.862836,94,"93, 2",0,2
0,1678305630.115655,95,"94, 2",0,2
6,1678305630.37058,96,-1,-1,-1
9,1678305630.624969,97,-1,-1,-1
6,1678305630.8797271,98,-1,-1,-1
5,1678305631.1316988,99,-1,-1,-1
9,1678305631.38541,100,-1,-1,-1
0,1678305631.6406882,101,"100, 2",0,2
8,1678305631.895597,102,-1,-1,-1
3,1678305632.150694,103,"103, 3",-1,-1
8,1678305632.405267,104,-1,-1,-1
10,1678305632.656157,105,-1,-1,-1
9,1678305632.907752,106,-1,-1,-1
6,1678305633.1623318,107,-1,-1,-1
3,1678305633.413111,108,"108, 3",-1,-1
3,1678305633.66531,109,"109, 3",-1,-1
2,1678305633.915997,110,"110, 3",-1,-1
1,1678305634.171333,111,"111, 3",-1,-1
3,1678305634.425903,112,"112, 3",-1,-1
9,1678305634.6787589,113,-1,-1,-1
8,1678305634.9314601,114,-1,-1,-1
5,1678305635.181992,115,-1,-1,-1
7,1678305635.436079,116,-1,-1,-1
7,1678305635.689638,117,-1,-1,-1
3,1678305635.9416971,118,"118, 3",-1,-1
1,1678305636.1934621,119,"119, 3",-1,-1
4,1678305636.443876,120,-1,-1,-1
8,1678305636.705499,121,-1,-1,-1
9,1678305636.959458,122,-1,-1,-1
0,1678305637.209976,123,"122, 2",0,2
1,1678305637.462674,124,"124, 3",-1,-1
10,1678305637.717495,125,-1,-1,-1
1,1678305637.973093,126,"126, 3",-1,-1
5,1678305638.226203,127,-1,-1,-1
0,1678305638.476634,128,"127, 2",0,2
9,1678305638.7319832,129,-1,-1,-1
9,1678305638.984365,130,-1,-1,-1
0,1678305639.2399821,131,"129, 1",0,1
4,1678305639.492956,132,-1,-1,-1
6,1678305639.747046,133,-1,-1,-1
10,1678305640.0023239,134,-1,-1,-1
0,1678305640.254385,135,"134, 2",0,2
0,1678305640.5092402,136,"135, 2",0,2
0,1678305640.764098,137,"136, 2",0,2
6,1678305641.0167081,138,-1,-1,-1
1,1678305641.271243,139,"139, 3",-1,-1
8,1678305641.534087,140,-1,-1,-1
10,1678305641.787689,141,-1,-1,-1
5,1678305642.0387259,142,-1,-1,-1
5,1678305642.293122,143,-1,-1,-1
4,1678305642.54429,144,-1,-1,-1
0,1678305642.79824,145,"144, 2",0,2
0,1678305643.0520918,146,"145, 2",0,2
1,1678305643.306891,147,"147, 3",-1,-1
8,1678305643.560271,148,-1,-1,-1
4,1678305643.8152242,149,-1,-1,-1
4,1678305644.086829,150,-1,-1,-1
4,1678305644.338052,151,-1,-1,-1
0,1678305644.589694,152,"151, 2",0,2
10,1678305644.844206,153,-1,-1,-1
6,1678305645.0968509,154,-1,-1,-1
5,1678305645.350317,155,-1,-1,-1
4,1678305645.6016488,156,-1,-1,-1
6,1678305645.8540921,157,-1,-1,-1
0,1678305646.108476,158,"157, 2",0,2
5,1678305646.358836,159,-1,-1,-1
0,1678305646.613677,160,"159, 1",0,1
9,1678305646.866302,161,-1,-1,-1
0,1678305647.1207712,162,"161, 2",0,2
5,1678305647.3734112,163,-1,-1,-1
0,1678305647.6284192,164,"163, 1",0,1
9,1678305647.8838139,165,-1,-1,-1
3,1678305648.137248,166,"166, 3",-1,-1
5,1678305648.390073,167,-1,-1,-1
4,1678305648.641731,168,-1,-1,-1
3,1678305648.8973281,169,"169, 3",-1,-1
6,1678305649.1508422,170,-1,-1,-1
9,1678305649.40142,171,-1,-1,-1
4,1678305649.655742,172,-1,-1,-1
4,1678305649.9108548,173,-1,-1,-1
0,1678305650.1639109,174,"173, 2",0,2
1,1678305650.417336,175,"175, 3",-1,-1
2,1678305650.670418,176,"176, 3",-1,-1
7,1678305650.924191,177,-1,-1,-1
6,1678305651.1746078,178,-1,-1,-1
0,1678305651.425663,179,"178, 2",0,2
5,1678305651.6811268,180,-1,-1,-1
8,1678305651.931903,181,-1,-1,-1
5,1678305652.184145,182,-1,-1,-1
2,1678305652.439306,183,"183, 3",-1,-1
10,1678305652.690858,184,-1,-1,-1
4,1678305652.9416971,185,-1,-1,-1
9,1678305653.1919,186,-1,-1,-1
10,1678305653.4443772,187,-1,-1,-1
0,1678305653.6981142,188,"187, 2",0,2
3,1678305653.9506931,189,"189, 3",-1,-1
2,1678305654.204036,190,"190, 3",-1,-1
7,1678305654.458764,191,-1,-1,-1
4,1678305654.71374,192,-1,-1,-1
2,1678305654.967226,193,"193, 3",-1,-1
1,1678305655.219768,194,"194, 3",-1,-1
3,1678305655.470103,195,"195, 3",-1,-1
9,1678305655.7245948,196,-1,-1,-1
1,1678305655.978035,197,"197, 3",-1,-1
6,1678305656.228666,198,-1,-1,-1
7,1678305656.483996,199,-1,-1,-1
7,1678305656.737806,200,-1,-1,-1
0,1678305656.990914,202,"201, 2",0,2
3,1678305657.245578,203,"203, 3",-1,-1
5,1678305657.496547,204,-1,-1,-1
5,1678305657.751276,205,-1,-1,-1
2,1678305658.0034719,206,"206, 3",-1,-1
9,1678305658.258857,207,-1,-1,-1
6,1678305658.511776,208,-1,-1,-1
4,1678305658.764528,209,-1,-1,-1
1,1678305659.01527,210,"210, 3",-1,-1
1,1678305659.270198,211,"211, 3",-1,-1
6,1678305659.523773,212,-1,-1,-1
0,1678305659.778261,213,"212, 2",0,2
0,1678305660.030644,214,"213, 2",0,2
3,1678305660.2828531,215,"215, 3",-1,-1
8,1678305660.5364192,216,-1,-1,-1
3,1678305660.791608,217,"217, 3",-1,-1
6,1678305661.042772,218,-1,-1,-1
1,1678305661.298264,219,"219, 3",-1,-1
6,1678305661.548617,220,-1,-1,-1
0,1678305661.799685,221,"220, 2",0,2
4,1678305662.054893,222,-1,-1,-1
6,1678305662.30783,223,-1,-1,-1
7,1678305662.562023,224,-1,-1,-1
2,1678305662.815302,225,"225, 3",-1,-1
0,1678305663.067689,226,"225, 2",0,2
1,1678305663.322186,227,"227, 3",-1,-1
5,1678305663.575357,228,-1,-1,-1
10,1678305663.825738,229,-1,-1,-1
7,1678305664.0794802,230,-1,-1,-1
10,1678305664.3327649,231,-1,-1,-1
9,1678305664.585016,232,-1,-1,-1
0,1678305664.839531,233,"232, 2",0,2
0,1678305665.090276,234,"233, 2",0,2
0,1678305665.342894,235,"234, 2",0,2
8,1678305665.5931158,236,-1,-1,-1
1,1678305665.847588,237,"237, 3",-1,-1
9,1678305666.097899,238,-1,-1,-1
10,1678305666.351082,239,-1,-1,-1
1,1678305666.604892,240,"240, 3",-1,-1
5,1678305666.856951,241,-1,-1,-1
10,1678305667.1088388,242,-1,-1,-1
9,1678305667.362201,243,-1,-1,-1
6,1678305667.617696,244,-1,-1,-1
6,1678305667.86921,245,-1,-1,-1
0,1678305668.1249962,246,"245, 2",0,2
0,1678305668.375713,247,"246, 2",0,2
1,1678305668.6304598,248,"248, 3",-1,-1
0,1678305668.8849049,249,"248, 2",0,2
3,1678305669.1354308,250,"250, 3",-1,-1
0,1678305669.389071,251,"250, 2",0,2
1,1678305669.642058,252,"252, 3",-1,-1
0,1678305669.892659,253,"252, 2",0,2
4,1678305670.147071,254,-1,-1,-1
10,1678305670.402161,255,-1,-1,-1
6,1678305670.653148,256,-1,-1,-1
6,1678305670.903668,257,-1,-1,-1
10,1678305671.159206,258,-1,-1,-1
0,1678305671.409676,259,"258, 1",0,1
9,1678305671.661957,260,-1,-1,-1
1,1678305671.917164,261,"261, 3",-1,-1
9,1678305672.1719658,262,-1,-1,-1
6,1678305672.425656,263,-1,-1,-1
6,1678305672.6805341,264,-1,-1,-1
8,1678305672.9360461,265,-1,-1,-1
10,1678305673.186549,266,-1,-1,-1
3,1678305673.441895,267,"267, 3",-1,-1
3,1678305673.694465,268,"268, 3",-1,-1
2,1678305673.9449751,269,"269, 3",-1,-1
3,1678305674.2001312,270,"270, 3",-1,-1
8,1678305674.451357,271,-1,-1,-1
2,1678305674.7049222,272,"272, 3",-1,-1
10,1678305674.9590259,273,-1,-1,-1
4,1678305675.213104,274,-1,-1,-1
10,1678305675.463854,275,-1,-1,-1
10,1678305675.717793,276,-1,-1,-1
8,1678305675.970432,277,-1,-1,-1
8,1678305676.225596,278,-1,-1,-1
9,1678305676.476209,279,-1,-1,-1
0,1678305676.731562,280,"279, 2",0,2
7,1678305676.983851,281,-1,-1,-1
0,1678305677.2394109,282,"281, 1",0,1
0,1678305677.492448,283,"282, 2",0,2
9,1678305677.743501,284,-1,-1,-1
10,1678305677.9971871,285,-1,-1,-1
0,1678305678.251136,286,"283, 1",0,1
1,1678305678.501781,287,"287, 3",-1,-1
4,1678305678.754585,288,-1,-1,-1
0,1678305679.009985,289,"288, 2",0,2
2,1678305679.261798,290,"290, 3",-1,-1
7,1678305679.515588,291,-1,-1,-1
3,1678305679.76815,292,"292, 3",-1,-1
10,1678305680.023406,293,-1,-1,-1
3,1678305680.276476,294,"294, 3",-1,-1
