Write Type,Global Time,Logical Clock Time,Message,Message Queue Length,Sender
5,1678156020.588684,1,-1,-1,-1
1,1678156020.684246,2,"2, 1",-1,-1
0,1678156020.7804842,3,"1, 3",0,3
1,1678156020.876266,4,"4, 1",-1,-1
2,1678156020.972319,5,"5, 1",-1,-1
7,1678156021.068095,6,-1,-1,-1
9,1678156021.164192,7,-1,-1,-1
7,1678156021.260155,8,-1,-1,-1
0,1678156021.356448,10,"9, 2",0,2
10,1678156021.452158,11,-1,-1,-1
6,1678156021.548118,12,-1,-1,-1
4,1678156021.644062,13,-1,-1,-1
1,1678156021.740267,14,"14, 1",-1,-1
4,1678156021.836115,15,-1,-1,-1
10,1678156021.932157,16,-1,-1,-1
0,1678156022.028241,17,"16, 2",0,2
0,1678156022.124474,18,"17, 2",0,2
6,1678156022.220177,19,-1,-1,-1
9,1678156022.311471,20,-1,-1,-1
9,1678156022.4026601,21,-1,-1,-1
2,1678156022.497411,22,"22, 1",-1,-1
2,1678156022.593529,23,"23, 1",-1,-1
6,1678156022.689573,24,-1,-1,-1
7,1678156022.785611,25,-1,-1,-1
0,1678156022.881693,26,"25, 2",0,2
0,1678156022.977571,27,"25, 3",0,3
9,1678156023.0735848,28,-1,-1,-1
0,1678156023.1696908,29,"26, 3",0,3
4,1678156023.2656178,30,-1,-1,-1
0,1678156023.361682,31,"29, 2",1,2
0,1678156023.457556,32,"27, 3",0,3
0,1678156023.5537002,33,"31, 2",1,2
0,1678156023.649766,34,"28, 3",0,3
10,1678156023.745501,35,-1,-1,-1
3,1678156023.841887,36,"36, 1",-1,-1
3,1678156023.841963,36,"36, 1",-1,-1
10,1678156023.937388,37,-1,-1,-1
6,1678156024.033482,38,-1,-1,-1
8,1678156024.129411,39,-1,-1,-1
3,1678156024.225027,40,"40, 1",-1,-1
3,1678156024.2250829,40,"40, 1",-1,-1
4,1678156024.317465,41,-1,-1,-1
5,1678156024.411071,42,-1,-1,-1
10,1678156024.503598,43,-1,-1,-1
8,1678156024.598764,44,-1,-1,-1
7,1678156024.694873,45,-1,-1,-1
0,1678156024.7910268,46,"45, 2",0,2
0,1678156024.887037,47,"46, 2",0,2
7,1678156024.9829729,48,-1,-1,-1
10,1678156025.079127,49,-1,-1,-1
0,1678156025.175082,50,"48, 3",0,3
2,1678156025.270972,51,"51, 1",-1,-1
10,1678156025.3669388,52,-1,-1,-1
10,1678156025.4628701,53,-1,-1,-1
10,1678156025.558932,54,-1,-1,-1
