Write Type,Global Time,Logical Clock Time,Message,Message Queue Length,Sender,1.0
0,1678305607.290329,4,"3, 3",1,3
0,1678305608.2915368,6,"5, 3",0,3
0,1678305609.297099,14,"13, 3",0,3
0,1678305610.298093,19,"18, 3",0,3
0,1678305611.3011909,25,"24, 3",0,3
0,1678305612.3060029,33,"32, 3",1,3
0,1678305613.308264,34,"33, 3",0,3
0,1678305614.313341,43,"42, 3",2,3
0,1678305615.317892,46,"45, 3",1,3
0,1678305616.320708,47,"46, 3",1,3
0,1678305617.323518,56,"55, 3",1,3
0,1678305618.326148,62,"61, 3",1,3
0,1678305619.330157,68,"67, 3",2,3
0,1678305620.334728,73,"72, 3",2,3
0,1678305621.336253,75,"74, 3",1,3
0,1678305622.33702,79,"78, 3",2,3
0,1678305623.3397639,87,"86, 1",2,1
0,1678305624.344568,88,"87, 1",2,1
0,1678305625.344966,100,"99, 3",4,3
0,1678305626.347872,105,"104, 3",5,3
0,1678305627.351084,108,"107, 3",5,3
0,1678305628.353157,109,"108, 3",6,3
0,1678305629.3559418,110,"109, 3",5,3
0,1678305630.360588,111,"104, 1",4,1
0,1678305631.364536,112,"105, 1",4,1
0,1678305632.365128,121,"120, 3",4,3
0,1678305633.366427,125,"124, 3",4,3
0,1678305634.369285,127,"126, 3",5,3
0,1678305635.3719401,143,"142, 3",4,3
0,1678305636.37512,151,"150, 3",4,3
0,1678305637.378601,155,"154, 3",3,3
0,1678305638.380109,160,"159, 3",3,3
0,1678305639.3829591,165,"164, 3",4,3
0,1678305640.387352,174,"173, 3",4,3
0,1678305641.3910022,187,"186, 3",4,3
0,1678305642.395329,192,"191, 3",5,3
0,1678305643.3990662,193,"192, 3",6,3
0,1678305644.3993332,195,"194, 1",6,1
0,1678305645.4014049,204,"203, 3",7,3
0,1678305646.4041889,208,"207, 3",7,3
0,1678305647.406642,210,"209, 3",6,3
0,1678305648.409476,213,"212, 3",7,3
0,1678305649.415054,214,"213, 3",6,3
0,1678305650.419761,224,"223, 3",6,3
0,1678305651.4203362,227,"226, 3",6,3
0,1678305652.42099,228,"227, 3",7,3
0,1678305653.423892,234,"233, 3",8,3
0,1678305654.4242618,245,"244, 3",8,3
0,1678305655.4262002,247,"246, 3",9,3
0,1678305656.4286668,257,"256, 3",10,3
0,1678305657.4312792,260,"259, 1",10,1
0,1678305658.436814,267,"266, 3",10,3
0,1678305659.4374862,271,"270, 3",9,3
0,1678305660.4394019,274,"273, 3",8,3
0,1678305661.4418619,276,"275, 3",8,3
0,1678305662.4448159,278,"277, 3",8,3
0,1678305663.447466,283,"282, 3",8,3
0,1678305664.451585,284,"283, 3",10,3
0,1678305665.452731,293,"292, 3",10,3
0,1678305666.455605,294,"293, 3",9,3
0,1678305667.458766,296,"295, 3",10,3
0,1678305668.461128,301,"300, 3",11,3
0,1678305669.4637198,318,"317, 3",11,3
0,1678305670.468632,324,"323, 3",10,3
0,1678305671.469363,332,"331, 3",11,3
0,1678305672.471644,336,"335, 3",10,3
0,1678305673.476269,339,"338, 3",9,3
0,1678305674.477215,340,"339, 3",12,3
0,1678305675.4815948,343,"342, 3",12,3
0,1678305676.4855769,351,"350, 1",13,1
0,1678305677.486731,357,"356, 3",13,3
0,1678305678.489324,360,"359, 3",13,3
0,1678305679.4933481,362,"361, 3",13,3
0,1678305680.498852,367,"366, 3",13,3
0,1678305681.499578,379,"378, 3",13,3
0,1678305682.5002859,382,"381, 3",14,3
0,1678305683.501413,397,"396, 3",15,3
0,1678305684.506474,398,"378, 1",17,1
0,1678305685.507179,399,"398, 3",17,3
0,1678305686.509331,400,"399, 3",19,3
0,1678305687.512213,405,"404, 3",20,3
0,1678305688.515119,407,"406, 3",22,3
0,1678305689.520333,411,"410, 3",22,3
0,1678305690.5213702,417,"416, 3",24,3
0,1678305691.522985,419,"418, 3",23,3
0,1678305692.52569,429,"428, 3",25,3
0,1678305693.5299551,430,"426, 1",24,1
0,1678305694.531147,439,"438, 3",25,3
0,1678305695.533826,443,"442, 3",28,3
0,1678305696.536531,447,"446, 3",28,3
0,1678305697.541912,448,"447, 3",27,3
0,1678305698.545679,450,"449, 3",27,3
0,1678305699.548658,455,"454, 3",26,3
0,1678305700.5496802,456,"451, 1",26,1
0,1678305701.550223,458,"457, 3",29,3
0,1678305702.5524411,459,"453, 1",30,1
0,1678305703.555347,466,"465, 3",30,3
0,1678305704.560871,469,"468, 3",30,3
0,1678305705.5651898,470,"469, 3",31,3
0,1678305706.568765,473,"472, 3",32,3
0,1678305707.572426,476,"475, 3",33,3
0,1678305708.577973,478,"477, 3",35,3
0,1678305709.582317,479,"478, 3",35,3
0,1678305710.5850592,480,"479, 3",35,3
0,1678305711.587596,487,"486, 3",36,3
0,1678305712.590006,490,"489, 3",36,3
0,1678305713.5929658,491,"490, 3",36,3
0,1678305714.59763,494,"493, 3",35,3
0,1678305715.598378,503,"502, 3",38,3
0,1678305716.601207,504,"503, 3",37,3
0,1678305717.603734,506,"505, 3",37,3
0,1678305718.609237,508,"507, 1",38,1
0,1678305719.6096718,514,"513, 3",38,3
