Write Type,Global Time,Logical Clock Time,Message,Message Queue Length,Sender,1.0
0,1678293739.820443,5,"4, 3",0,3
0,1678293740.8228009,11,"10, 2",0,2
0,1678293741.8253498,13,"12, 2",2,2
0,1678293742.8281941,15,"14, 3",2,3
0,1678293743.832143,16,"15, 2",3,2
0,1678293744.833601,24,"23, 2",4,2
0,1678293745.8362172,28,"27, 2",4,2
0,1678293746.840605,29,"28, 2",3,2
0,1678293747.843911,32,"31, 3",5,3
0,1678293748.846244,33,"32, 2",8,2
0,1678293749.8512452,38,"37, 3",8,3
0,1678293750.853736,48,"47, 3",8,3
0,1678293751.856305,51,"50, 2",12,2
0,1678293752.858838,52,"51, 2",12,2
0,1678293753.860626,55,"54, 3",12,3
0,1678293754.865887,56,"54, 2",12,2
0,1678293755.866637,59,"58, 2",13,2
0,1678293756.8695061,60,"58, 3",17,3
0,1678293757.8724968,62,"61, 2",17,2
0,1678293758.876939,66,"65, 3",18,3
0,1678293759.880984,70,"69, 3",21,3
0,1678293760.885303,71,"70, 3",20,3
0,1678293761.88975,74,"73, 2",21,2
0,1678293762.893311,76,"75, 2",21,2
0,1678293763.898321,77,"76, 2",22,2
0,1678293764.901075,80,"79, 3",22,3
0,1678293765.906074,87,"86, 3",24,3
0,1678293766.906618,96,"95, 2",28,2
0,1678293767.910481,100,"99, 3",28,3
0,1678293768.913151,101,"100, 3",28,3
0,1678293769.917465,103,"102, 2",30,2
0,1678293770.922563,104,"102, 3",31,3
0,1678293771.927608,105,"103, 3",34,3
0,1678293772.930281,107,"106, 2",35,2
0,1678293773.9329762,108,"105, 3",36,3
0,1678293774.935786,114,"113, 3",36,3
0,1678293775.938318,115,"114, 3",35,3
0,1678293776.9408908,117,"116, 2",36,2
0,1678293777.943959,122,"121, 2",36,2
0,1678293778.948017,123,"122, 2",38,2
0,1678293779.9509828,125,"124, 2",39,2
0,1678293780.9542289,126,"125, 3",39,3
0,1678293781.958061,134,"133, 3",39,3
0,1678293782.960277,135,"134, 3",40,3
0,1678293783.964085,143,"142, 3",40,3
0,1678293784.9684632,148,"147, 2",40,2
0,1678293785.973492,149,"148, 2",40,2
0,1678293786.9740741,156,"155, 2",41,2
0,1678293787.978865,161,"160, 3",42,3
0,1678293788.983849,163,"162, 3",44,3
0,1678293789.9890099,165,"164, 2",46,2
0,1678293790.99163,166,"165, 2",47,2
0,1678293791.995724,169,"168, 3",48,3
0,1678293792.999406,170,"168, 2",47,2
0,1678293793.9997382,171,"170, 2",47,2
0,1678293795.002959,172,"170, 3",47,3
0,1678293796.003617,174,"173, 3",46,3
0,1678293797.004113,180,"179, 2",47,2
0,1678293798.0088918,182,"181, 3",47,3
0,1678293799.013032,184,"183, 3",48,3
0,1678293800.015701,187,"186, 2",50,2
0,1678293801.019957,191,"190, 3",50,3
0,1678293802.022332,192,"191, 2",51,2
0,1678293803.027223,198,"197, 2",52,2
0,1678293804.0321221,199,"198, 3",54,3
0,1678293805.036142,200,"198, 2",54,2
0,1678293806.040372,201,"199, 2",55,2
0,1678293807.044737,203,"202, 2",55,2
0,1678293808.053252,205,"204, 3",57,3
0,1678293809.056418,206,"205, 3",58,3
0,1678293810.061897,208,"207, 3",57,3
0,1678293811.066707,214,"213, 3",57,3
0,1678293812.070513,225,"224, 2",56,2
0,1678293813.0720692,229,"228, 2",58,2
0,1678293814.074645,232,"231, 3",59,3
0,1678293815.079066,238,"237, 3",61,3
0,1678293816.080221,239,"238, 2",62,2
0,1678293817.085036,241,"240, 2",65,2
0,1678293818.085262,244,"243, 2",66,2
0,1678293819.0886478,247,"246, 2",68,2
0,1678293820.0919108,249,"248, 3",67,3
0,1678293821.1101031,257,"256, 3",68,3
0,1678293822.1153548,260,"259, 3",70,3
0,1678293823.119981,261,"260, 3",72,3
0,1678293824.123848,272,"271, 3",72,3
0,1678293825.128445,274,"273, 3",72,3
0,1678293826.1337721,280,"279, 2",71,2
0,1678293827.136487,286,"285, 2",74,2
0,1678293828.141768,287,"286, 3",75,3
0,1678293829.146969,291,"290, 2",76,2
0,1678293830.1514308,296,"295, 3",77,3
0,1678293831.1541371,299,"298, 2",77,2
0,1678293832.157265,300,"299, 2",79,2
0,1678293833.160937,301,"298, 3",79,3
0,1678293834.166004,302,"301, 3",81,3
0,1678293835.168728,308,"307, 2",82,2
0,1678293836.173324,309,"308, 2",83,2
0,1678293837.177231,311,"310, 2",84,2
0,1678293838.186292,313,"312, 3",86,3
0,1678293839.1907651,317,"316, 2",87,2
0,1678293840.1960151,319,"318, 3",87,3
0,1678293841.198455,331,"330, 2",88,2
0,1678293842.201898,340,"339, 2",90,2
0,1678293843.204034,349,"348, 2",91,2
0,1678293844.208853,351,"350, 3",90,3
0,1678293845.2118862,353,"352, 2",90,2
0,1678293846.215531,359,"358, 2",93,2
0,1678293847.219559,364,"363, 2",95,2
0,1678293848.229528,368,"367, 2",96,2
0,1678293849.232192,369,"367, 3",99,3
0,1678293850.236321,370,"368, 2",100,2
0,1678293851.2375522,373,"372, 3",103,3
0,1678293852.241525,376,"375, 2",103,2
