Write Type,Global Time,Logical Clock Time,Message,Message Queue Length,Sender
4,1678156020.5988102,1,-1,-1,-1
0,1678156020.704316,3,"2, 1",1,1
0,1678156020.808639,4,"1, 3",0,3
0,1678156020.9126358,5,"4, 1",0,1
6,1678156021.01491,6,-1,-1,-1
8,1678156021.120193,7,-1,-1,-1
6,1678156021.225462,8,-1,-1,-1
2,1678156021.330868,9,"9, 2",-1,-1
8,1678156021.432996,10,-1,-1,-1
7,1678156021.537531,11,-1,-1,-1
4,1678156021.639906,12,-1,-1,-1
0,1678156021.744742,13,"9, 3",1,3
0,1678156021.847018,15,"14, 1",0,1
2,1678156021.9524422,16,"16, 2",-1,-1
3,1678156022.057903,17,"17, 2",-1,-1
3,1678156022.057971,17,"17, 2",-1,-1
9,1678156022.160013,18,-1,-1,-1
5,1678156022.2628071,19,-1,-1,-1
0,1678156022.368018,20,"19, 3",0,3
4,1678156022.471044,21,-1,-1,-1
10,1678156022.5729039,22,-1,-1,-1
10,1678156022.673193,23,-1,-1,-1
7,1678156022.774909,24,-1,-1,-1
2,1678156022.880296,25,"25, 2",-1,-1
0,1678156022.984666,26,"25, 3",0,3
4,1678156023.087952,27,-1,-1,-1
0,1678156023.19111,28,"26, 3",0,3
2,1678156023.294836,29,"29, 2",-1,-1
4,1678156023.400137,30,-1,-1,-1
2,1678156023.5027788,31,"31, 2",-1,-1
8,1678156023.607104,32,-1,-1,-1
10,1678156023.708599,33,-1,-1,-1
0,1678156023.80971,34,"29, 3",0,3
0,1678156023.914191,37,"36, 1",0,1
9,1678156024.0156958,38,-1,-1,-1
10,1678156024.1187541,39,-1,-1,-1
8,1678156024.22249,40,-1,-1,-1
0,1678156024.323854,41,"40, 1",0,1
6,1678156024.4281752,42,-1,-1,-1
1,1678156024.533034,43,"43, 2",-1,-1
6,1678156024.6342971,44,-1,-1,-1
3,1678156024.737768,45,"45, 2",-1,-1
3,1678156024.7378392,45,"45, 2",-1,-1
3,1678156024.8394308,46,"46, 2",-1,-1
3,1678156024.839642,46,"46, 2",-1,-1
7,1678156024.944499,47,-1,-1,-1
4,1678156025.0484228,48,-1,-1,-1
7,1678156025.153567,49,-1,-1,-1
10,1678156025.256049,50,-1,-1,-1
8,1678156025.356287,51,-1,-1,-1
9,1678156025.460137,52,-1,-1,-1
2,1678156025.565619,53,"53, 2",-1,-1
