Write Type,Global Time,Logical Clock Time,Message,Message Queue Length,Sender,2.0
2,1678299241.092397,1,-1,-1,-1
3,1678299241.597811,2,-1,-1,-1
4,1678299242.100766,3,-1,-1,-1
5,1678299242.604766,4,-1,-1,-1
6,1678299243.106098,5,-1,-1,-1
7,1678299243.607527,6,-1,-1,-1
8,1678299244.10883,7,-1,-1,-1
9,1678299244.610267,8,-1,-1,-1
10,1678299245.115396,9,-1,-1,-1
1,1678299245.619018,10,-1,-1,-1
2,1678299246.121734,11,-1,-1,-1
3,1678299246.626179,12,-1,-1,-1
4,1678299247.1280892,13,-1,-1,-1
5,1678299247.628875,14,-1,-1,-1
6,1678299248.1302779,15,-1,-1,-1
7,1678299248.631747,16,-1,-1,-1
8,1678299249.132731,17,-1,-1,-1
9,1678299249.634335,18,-1,-1,-1
10,1678299250.138565,19,-1,-1,-1
1,1678299250.6389928,20,-1,-1,-1
2,1678299251.142878,21,-1,-1,-1
3,1678299251.6561532,22,-1,-1,-1
4,1678299252.1582878,23,-1,-1,-1
5,1678299252.659907,24,-1,-1,-1
6,1678299253.165005,25,-1,-1,-1
7,1678299253.66633,26,-1,-1,-1
8,1678299254.167645,27,-1,-1,-1
9,1678299254.669044,28,-1,-1,-1
10,1678299255.170411,29,-1,-1,-1
1,1678299255.675221,30,-1,-1,-1
2,1678299256.178211,31,-1,-1,-1
3,1678299256.6816761,32,-1,-1,-1
4,1678299257.186464,33,-1,-1,-1
5,1678299257.6907039,34,-1,-1,-1
6,1678299258.1939788,35,-1,-1,-1
7,1678299258.6957572,36,-1,-1,-1
8,1678299259.1983922,37,-1,-1,-1
9,1678299259.7011762,38,-1,-1,-1
10,1678299260.2053592,39,-1,-1,-1
1,1678299260.7102249,40,-1,-1,-1
2,1678299261.2132921,41,-1,-1,-1
3,1678299261.713598,42,-1,-1,-1
4,1678299262.216476,43,-1,-1,-1
5,1678299262.720757,44,-1,-1,-1
6,1678299263.223862,45,-1,-1,-1
7,1678299263.727963,46,-1,-1,-1
8,1678299264.233322,47,-1,-1,-1
9,1678299264.738796,48,-1,-1,-1
10,1678299265.243496,49,-1,-1,-1
1,1678299265.7445061,50,-1,-1,-1
2,1678299266.24694,51,-1,-1,-1
3,1678299266.7511208,52,-1,-1,-1
4,1678299267.256098,53,-1,-1,-1
5,1678299267.7575822,54,-1,-1,-1
6,1678299268.259295,55,-1,-1,-1
7,1678299268.760233,56,-1,-1,-1
8,1678299269.261454,57,-1,-1,-1
9,1678299269.764545,58,-1,-1,-1
10,1678299270.269778,59,-1,-1,-1
1,1678299270.772356,60,-1,-1,-1
2,1678299271.277511,61,-1,-1,-1
3,1678299271.782376,62,-1,-1,-1
4,1678299272.2862232,63,-1,-1,-1
5,1678299272.787071,64,-1,-1,-1
6,1678299273.287968,65,-1,-1,-1
7,1678299273.791759,66,-1,-1,-1
8,1678299274.296339,67,-1,-1,-1
9,1678299274.7991722,68,-1,-1,-1
10,1678299275.304699,69,-1,-1,-1
1,1678299275.805419,70,-1,-1,-1
2,1678299276.307706,71,-1,-1,-1
3,1678299276.80899,72,-1,-1,-1
4,1678299277.3102632,73,-1,-1,-1
5,1678299277.814785,74,-1,-1,-1
6,1678299278.31871,75,-1,-1,-1
7,1678299278.819121,76,-1,-1,-1
8,1678299279.320534,77,-1,-1,-1
9,1678299279.8229141,78,-1,-1,-1
10,1678299280.324916,79,-1,-1,-1
1,1678299280.829798,80,-1,-1,-1
2,1678299281.335207,81,-1,-1,-1
