Write Type,Global Time,Logical Clock Time,Message,Message Queue Length,Sender,1.0
0,1678300330.21212,2,"1, 2",0,2
0,1678300331.2146518,3,"2, 2",0,2
0,1678300332.221376,5,"4, 3",1,3
0,1678300333.225149,6,"4, 2",0,2
0,1678300334.22859,9,"8, 2",0,2
1,1678300335.2357938,10,"10, 1",-1,-1
4,1678300336.238443,11,-1,-1,-1
0,1678300337.242929,15,"14, 2",1,2
0,1678300338.248836,16,"15, 2",1,2
0,1678300339.254497,18,"17, 2",0,2
0,1678300340.2601101,21,"20, 2",0,2
0,1678300341.2657611,23,"22, 2",1,2
0,1678300342.267937,24,"23, 2",2,2
0,1678300343.2735622,25,"24, 2",1,2
0,1678300344.280212,26,"25, 2",1,2
0,1678300345.284478,29,"28, 2",1,2
0,1678300346.286269,31,"30, 2",1,2
0,1678300347.2896461,33,"32, 2",1,2
0,1678300348.2989361,36,"35, 2",1,2
0,1678300349.301451,37,"36, 2",1,2
0,1678300350.3054879,39,"38, 2",2,2
0,1678300351.316271,41,"40, 2",2,2
0,1678300352.3179562,42,"41, 2",2,2
0,1678300353.326108,43,"42, 2",1,2
0,1678300354.328032,45,"44, 2",0,2
0,1678300355.3336582,51,"50, 2",0,2
0,1678300356.338729,53,"52, 2",1,2
0,1678300357.344176,54,"53, 2",1,2
0,1678300358.347604,55,"54, 2",1,2
0,1678300359.354222,57,"56, 2",1,2
0,1678300360.3594081,59,"58, 2",1,2
0,1678300361.370605,61,"60, 2",1,2
0,1678300362.376228,64,"63, 2",1,2
0,1678300363.380797,66,"65, 2",2,2
0,1678300364.385866,67,"66, 2",2,2
0,1678300365.390715,68,"67, 2",1,2
0,1678300366.394251,69,"68, 2",1,2
0,1678300367.395537,74,"73, 2",0,2
2,1678300368.401213,75,"75, 1",-1,-1
0,1678300369.404205,79,"78, 2",1,2
0,1678300370.40924,80,"79, 2",1,2
0,1678300371.414347,82,"81, 2",1,2
0,1678300372.418745,84,"83, 2",0,2
3,1678300373.4241111,85,"85, 1",-1,-1
0,1678300374.4264588,90,"89, 2",0,2
4,1678300375.430729,91,-1,-1,-1
0,1678300376.436258,94,"93, 2",0,2
0,1678300377.441143,95,"94, 2",0,2
0,1678300378.4521742,98,"97, 2",0,2
4,1678300379.457654,99,-1,-1,-1
2,1678300380.462394,100,"100, 1",-1,-1
0,1678300381.4675221,104,"103, 2",0,2
0,1678300382.472577,105,"104, 2",1,2
0,1678300383.4772859,106,"105, 2",0,2
3,1678300384.4834828,107,"107, 1",-1,-1
2,1678300385.489748,108,"108, 1",-1,-1
0,1678300386.497879,113,"112, 2",1,2
0,1678300387.499417,114,"113, 2",0,2
0,1678300388.5047529,118,"117, 2",0,2
2,1678300389.51013,119,"119, 1",-1,-1
0,1678300390.514465,122,"121, 2",0,2
0,1678300391.516371,123,"122, 2",0,2
0,1678300392.521951,125,"124, 2",0,2
0,1678300393.523613,127,"126, 2",1,2
0,1678300394.528971,128,"127, 2",1,2
0,1678300395.5347042,129,"128, 2",2,2
0,1678300396.537698,131,"130, 2",1,2
0,1678300397.546649,132,"131, 2",2,2
0,1678300398.550368,135,"134, 2",1,2
0,1678300399.5554261,136,"135, 2",0,2
0,1678300400.559571,141,"140, 2",1,2
0,1678300401.564103,142,"141, 2",1,2
0,1678300402.5712588,143,"142, 2",1,2
0,1678300403.573929,146,"145, 2",2,2
0,1678300404.578488,147,"146, 2",3,2
0,1678300405.5825431,148,"147, 2",2,2
0,1678300406.584168,149,"148, 2",1,2
0,1678300407.58948,150,"149, 2",0,2
0,1678300408.59236,158,"157, 2",0,2
0,1678300409.597982,159,"158, 2",1,2
0,1678300410.602544,160,"159, 2",2,2
0,1678300411.6047978,161,"160, 2",2,2
0,1678300412.6099808,162,"161, 2",2,2
0,1678300413.614424,163,"162, 2",2,2
0,1678300414.616135,165,"164, 2",1,2
0,1678300415.621275,167,"166, 2",0,2
2,1678300416.626555,168,"168, 1",-1,-1
0,1678300417.6319659,175,"174, 2",1,2
0,1678300418.633803,176,"175, 2",1,2
0,1678300419.6393542,178,"177, 2",0,2
0,1678300420.646129,181,"180, 2",0,2
0,1678300421.653823,184,"183, 2",0,2
0,1678300422.661856,185,"184, 2",1,2
0,1678300423.667248,186,"185, 2",0,2
0,1678300424.67135,189,"188, 2",1,2
0,1678300425.67172,190,"189, 2",2,2
0,1678300426.672287,191,"190, 2",3,2
0,1678300427.673333,192,"191, 2",4,2
0,1678300428.676866,193,"192, 2",4,2
0,1678300429.682188,194,"193, 2",4,2
0,1678300430.690355,195,"194, 2",3,2
0,1678300431.697904,196,"195, 2",4,2
0,1678300432.69915,198,"197, 2",5,2
0,1678300433.7044768,200,"199, 2",5,2
0,1678300434.7063549,203,"202, 2",5,2
0,1678300435.709884,204,"203, 2",5,2
0,1678300436.7118878,205,"204, 2",5,2
0,1678300437.717184,206,"205, 2",6,2
0,1678300438.7213,207,"206, 2",6,2
0,1678300439.7229388,209,"208, 2",5,2
0,1678300440.727433,211,"210, 2",6,2
0,1678300441.729574,214,"213, 2",7,2
0,1678300442.73191,215,"214, 2",7,2
