Write Type,Global Time,Logical Clock Time,Message,Message Queue Length,Sender,2.0
1,1678300329.71146,1,"1, 2",-1,-1
3,1678300330.2166998,2,"2, 2",-1,-1
2,1678300330.71883,3,"3, 2",-1,-1
4,1678300331.222223,4,-1,-1,-1
0,1678300331.724756,6,"5, 3",0,3
0,1678300332.230573,7,"6, 3",0,3
0,1678300332.7330282,8,"7, 3",0,3
1,1678300333.239468,9,"9, 2",-1,-1
0,1678300333.745963,10,"9, 1",0,1
0,1678300334.2516842,11,"10, 1",0,1
4,1678300334.755593,12,-1,-1,-1
1,1678300335.260907,13,"13, 2",-1,-1
1,1678300335.762555,14,"14, 2",-1,-1
3,1678300336.264149,15,"15, 2",-1,-1
3,1678300336.770848,16,"16, 2",-1,-1
3,1678300337.276247,17,"17, 2",-1,-1
4,1678300337.781686,18,-1,-1,-1
3,1678300338.2919621,19,"19, 2",-1,-1
2,1678300338.797586,20,"20, 2",-1,-1
0,1678300339.29986,22,"21, 1",1,1
0,1678300339.8053062,23,"21, 3",1,3
0,1678300340.309153,24,"22, 3",0,3
2,1678300340.818316,25,"25, 2",-1,-1
0,1678300341.319577,26,"25, 3",0,3
3,1678300341.825184,27,"27, 2",-1,-1
3,1678300342.330397,28,"28, 2",-1,-1
3,1678300342.839803,29,"29, 2",-1,-1
1,1678300343.341825,30,"30, 2",-1,-1
3,1678300343.8469691,31,"31, 2",-1,-1
2,1678300344.348205,32,"32, 2",-1,-1
0,1678300344.851058,34,"33, 3",0,3
2,1678300345.356519,35,"35, 2",-1,-1
3,1678300345.859433,36,"36, 2",-1,-1
2,1678300346.362514,37,"37, 2",-1,-1
4,1678300346.867753,38,-1,-1,-1
4,1678300347.373087,39,-1,-1,-1
0,1678300347.8759968,41,"40, 3",0,3
0,1678300348.378825,42,"41, 3",0,3
0,1678300348.8839831,43,"42, 3",0,3
0,1678300349.389387,44,"43, 3",0,3
0,1678300349.894014,45,"44, 3",0,3
1,1678300350.397409,46,"46, 2",-1,-1
0,1678300350.905849,48,"47, 1",0,1
0,1678300351.406726,49,"48, 1",0,1
4,1678300351.91044,50,-1,-1,-1
3,1678300352.414146,51,"51, 2",-1,-1
3,1678300352.9173179,52,"52, 2",-1,-1
2,1678300353.421793,53,"53, 2",-1,-1
0,1678300353.926642,55,"54, 3",0,3
0,1678300354.4309812,56,"55, 3",1,3
0,1678300354.934286,57,"55, 1",0,1
2,1678300355.438514,58,"58, 2",-1,-1
0,1678300355.943139,59,"58, 3",0,3
0,1678300356.44419,60,"59, 3",0,3
2,1678300356.949932,61,"61, 2",-1,-1
1,1678300357.4516459,62,"62, 2",-1,-1
0,1678300357.955473,64,"63, 1",0,1
0,1678300358.459455,65,"64, 1",0,1
0,1678300358.9638479,66,"65, 1",0,1
0,1678300359.469367,67,"66, 1",0,1
0,1678300359.9723241,68,"67, 3",0,3
0,1678300360.4738078,70,"69, 1",0,1
0,1678300360.978467,71,"70, 1",0,1
0,1678300361.48371,72,"71, 1",0,1
0,1678300361.989695,73,"72, 3",0,3
0,1678300362.490592,74,"73, 1",0,1
0,1678300362.993508,75,"74, 3",1,3
0,1678300363.495091,76,"74, 1",1,1
0,1678300363.9981189,77,"75, 1",1,1
0,1678300364.503049,78,"76, 3",1,3
0,1678300365.005276,79,"77, 3",2,3
0,1678300365.510575,80,"78, 3",2,3
0,1678300366.016549,81,"79, 1",2,1
0,1678300366.5219688,82,"80, 1",2,1
0,1678300367.0238562,83,"81, 1",2,1
0,1678300367.52937,84,"82, 3",2,3
0,1678300368.032634,85,"83, 3",2,3
0,1678300368.536076,86,"85, 1",1,1
0,1678300369.037854,87,"85, 3",0,3
3,1678300369.5412009,88,"88, 2",-1,-1
2,1678300370.047947,89,"89, 2",-1,-1
1,1678300370.5521128,90,"90, 2",-1,-1
4,1678300371.0597801,91,-1,-1,-1
0,1678300371.56403,95,"94, 1",0,1
4,1678300372.068769,96,-1,-1,-1
0,1678300372.571111,97,"96, 1",0,1
4,1678300373.076554,98,-1,-1,-1
1,1678300373.580312,99,"99, 2",-1,-1
0,1678300374.084672,100,"99, 1",0,1
0,1678300374.589382,101,"100, 1",0,1
0,1678300375.093796,102,"101, 3",0,3
0,1678300375.599087,103,"102, 3",1,3
0,1678300376.10365,104,"103, 1",0,1
